|F| is smaller than |a|	smaller(f,a)
Z is in back of x	backof(z,x)
Y and x are in the same column	samecol(y,x)
Y. and X. are in the same column	samecol(y,x)
Both Y. and X. are in the same column	samecol(y,x)
Both Y. and X. are in the same column	samecol(y,x)
Y. is in the same column as x	samecol(y,x)
Both y and X. are in the same column	samecol(y,x)
Y and x are both in the same column	samecol(y,x)
Y. and x are both in the same column	samecol(y,x)
Y. and X. both are in the same column	samecol(y,x)
Both y and x are in the same column	samecol(y,x)
Y and X. are both in the same column	samecol(y,x)
Y and x both are in the same column	samecol(y,x)
Y and X. are in the same column	samecol(y,x)
Both Y. and x are in the same column	samecol(y,x)
Y. and x are in the same column	samecol(y,x)
Both Y. and x are in the same column	samecol(y,x)
Y	samecol(y,x)
Y and X. both are in the same column	samecol(y,x)
Y is in the same column as x	samecol(y,x)
Y. and x both are in the same column	samecol(y,x)
Both y and x are in the same column	samecol(y,x)
Both y and X. are in the same column	samecol(y,x)
Y. and X. are both in the same column	samecol(y,x)
Y. is in front of |e|	frontof(y,e)
Y is in front of |e|	frontof(y,e)
X. is happy	happy(x)
X is happy	happy(x)
|C| is in back of |e|	backof(c,e)
|E| is smaller than |f|	smaller(e,f)
|F| is in front of y	frontof(f,y)
Z. and Y. are in the same row	samerow(z,y)
Z is in the same row as y	samerow(z,y)
Z. and Y. are both in the same row	samerow(z,y)
Z. and Y. both are in the same row	samerow(z,y)
Both z and Y. are in the same row	samerow(z,y)
Z. and y are both in the same row	samerow(z,y)
Z and Y. are in the same row	samerow(z,y)
Z and Y. both are in the same row	samerow(z,y)
Z and y are both in the same row	samerow(z,y)
Z and y both are in the same row	samerow(z,y)
Both Z. and Y. are in the same row	samerow(z,y)
Both Z. and Y. are in the same row	samerow(z,y)
Both z and Y. are in the same row	samerow(z,y)
Z. and y are in the same row	samerow(z,y)
Both Z. and y are in the same row	samerow(z,y)
Both z and y are in the same row	samerow(z,y)
Z and y are in the same row	samerow(z,y)
Z	samerow(z,y)
Z and Y. are both in the same row	samerow(z,y)
Both z and y are in the same row	samerow(z,y)
Z. is in the same row as y	samerow(z,y)
Both Z. and y are in the same row	samerow(z,y)
Z. and y both are in the same row	samerow(z,y)
Z is in front of |f|	frontof(z,f)
Z. is in front of |f|	frontof(z,f)
|C| is the same shape as |d|	sameshape(c,d)
|C| and |d| are both the same shape	sameshape(c,d)
|C| and |d| are the same shape	sameshape(c,d)
Both |c| and |d| are the same shape	sameshape(c,d)
|C| and |d| both are the same shape	sameshape(c,d)
Both |c| and |d| are the same shape	sameshape(c,d)
|C| is happy	happy(c)
Both |d| and Z. are the same shape	sameshape(d,z)
|D| and z are both the same shape	sameshape(d,z)
Both |d| and z are the same shape	sameshape(d,z)
|D| and z both are the same shape	sameshape(d,z)
|D| and Z. are the same shape	sameshape(d,z)
Both |d| and Z. are the same shape	sameshape(d,z)
|D| and z are the same shape	sameshape(d,z)
Both |d| and z are the same shape	sameshape(d,z)
|D| and Z. are both the same shape	sameshape(d,z)
|D| and Z. both are the same shape	sameshape(d,z)
|E| adjoins |a|	adjoins(e,a)
|A| is in front of x	frontof(a,x)
Y. is to the left of y	leftof(y,y)
Y is to the left of y	leftof(y,y)
|F| is in back of |a|	backof(f,a)
|F| adjoins |a|	adjoins(f,a)
Both |f| and |c| are the same shape	sameshape(f,c)
Both |f| and |c| are the same shape	sameshape(f,c)
|F| is the same shape as |c|	sameshape(f,c)
|F| and |c| are both the same shape	sameshape(f,c)
|F| and |c| are the same shape	sameshape(f,c)
|F| and |c| both are the same shape	sameshape(f,c)
|C| is to the right of |a|	rightof(c,a)
|C| is to the left of |a|	leftof(c,a)
|C| is smaller than |f|	smaller(c,f)
|E| is in back of |a|	backof(e,a)
|F| is to the right of |b|	rightof(f,b)
|B| is to the left of |e|	leftof(b,e)
|E| adjoins y	adjoins(e,y)
X is in front of y	frontof(x,y)
X. is in front of y	frontof(x,y)
|A| and X. both are in the same row	samerow(a,x)
|A| and x are both in the same row	samerow(a,x)
|A| and X. are both in the same row	samerow(a,x)
Both |a| and x are in the same row	samerow(a,x)
Both |a| and X. are in the same row	samerow(a,x)
Both |a| and x are in the same row	samerow(a,x)
|A| is in the same row as x	samerow(a,x)
|A| and X. are in the same row	samerow(a,x)
Both |a| and X. are in the same row	samerow(a,x)
|A| and x are in the same row	samerow(a,x)
|A| and x both are in the same row	samerow(a,x)
|F| likes |a|	likes(f,a)
Y. is smaller than y	smaller(y,y)
Y	smaller(y,y)
Y is smaller than y	smaller(y,y)
|E| adjoins |e|	adjoins(e,e)
X. is smaller than |c|	smaller(x,c)
X is smaller than |c|	smaller(x,c)
|F| likes |d|	likes(f,d)
|C| is larger than |d|	larger(c,d)
|E| is in front of |b|	frontof(e,b)
Y and x both are the same shape	sameshape(y,x)
Y and x are the same shape	sameshape(y,x)
Y. and x are the same shape	sameshape(y,x)
Both Y. and x are the same shape	sameshape(y,x)
Both y and x are the same shape	sameshape(y,x)
Y and x are both the same shape	sameshape(y,x)
Y. and x are both the same shape	sameshape(y,x)
Both y and X. are the same shape	sameshape(y,x)
Y and X. both are the same shape	sameshape(y,x)
Y is the same shape as x	sameshape(y,x)
Both y and x are the same shape	sameshape(y,x)
Y and X. are both the same shape	sameshape(y,x)
Both y and X. are the same shape	sameshape(y,x)
Both Y. and x are the same shape	sameshape(y,x)
Both Y. and X. are the same shape	sameshape(y,x)
Y and X. are the same shape	sameshape(y,x)
Y. and X. both are the same shape	sameshape(y,x)
Y. and X. are the same shape	sameshape(y,x)
Y. and X. are both the same shape	sameshape(y,x)
Y	sameshape(y,x)
Y. and x both are the same shape	sameshape(y,x)
Y. is the same shape as x	sameshape(y,x)
Both Y. and X. are the same shape	sameshape(y,x)
|C| is to the right of x	rightof(c,x)
Z is large	large(z)
Z. is large	large(z)
|F| is in front of |a|	frontof(f,a)
|B| is in back of |c|	backof(b,c)
|A| is smaller than x	smaller(a,x)
|A| is in back of |d|	backof(a,d)
|B| is large	large(b)
|C| adjoins |d|	adjoins(c,d)
|C| adjoins |e|	adjoins(c,e)
|F| and |a| are both in the same row	samerow(f,a)
|F| and |a| are in the same row	samerow(f,a)
|F| is in the same row as |a|	samerow(f,a)
Both |f| and |a| are in the same row	samerow(f,a)
|F| and |a| both are in the same row	samerow(f,a)
Both |f| and |a| are in the same row	samerow(f,a)
|B| is in front of |e|	frontof(b,e)
|A| and x are the same size	samesize(a,x)
|A| is the same size as x	samesize(a,x)
|A| and x both are the same size	samesize(a,x)
Both |a| and x are the same size	samesize(a,x)
Both |a| and x are the same size	samesize(a,x)
|A| and x are both the same size	samesize(a,x)
Both |a| and X. are the same size	samesize(a,x)
|A| and X. are both the same size	samesize(a,x)
|A| and X. are the same size	samesize(a,x)
|A| and X. both are the same size	samesize(a,x)
Both |a| and X. are the same size	samesize(a,x)
|B| is to the right of |c|	rightof(b,c)
|D| is a dodecahedron	dodec(d)
|E| and |e| both are in the same row	samerow(e,e)
|E| is in the same row as |e|	samerow(e,e)
|E| and |e| are both in the same row	samerow(e,e)
|E| and |e| are in the same row	samerow(e,e)
Both |e| and |e| are in the same row	samerow(e,e)
Both |e| and |e| are in the same row	samerow(e,e)
|A| is in back of |b|	backof(a,b)
|C| and |e| are in the same column	samecol(c,e)
Both |c| and |e| are in the same column	samecol(c,e)
|C| and |e| are both in the same column	samecol(c,e)
|C| and |e| both are in the same column	samecol(c,e)
|C| is in the same column as |e|	samecol(c,e)
Both |c| and |e| are in the same column	samecol(c,e)
Both |b| and |a| are the same size	samesize(b,a)
|B| and |a| are both the same size	samesize(b,a)
|B| and |a| both are the same size	samesize(b,a)
Both |b| and |a| are the same size	samesize(b,a)
|B| is the same size as |a|	samesize(b,a)
|B| and |a| are the same size	samesize(b,a)
|B| is in back of |a|	backof(b,a)
Y is the same size as |d|	samesize(y,d)
Both y and |d| are the same size	samesize(y,d)
Y. and |d| are both the same size	samesize(y,d)
Y. is the same size as |d|	samesize(y,d)
Y and |d| are both the same size	samesize(y,d)
Y. and |d| both are the same size	samesize(y,d)
Y. and |d| are the same size	samesize(y,d)
Both Y. and |d| are the same size	samesize(y,d)
Y and |d| are the same size	samesize(y,d)
Both Y. and |d| are the same size	samesize(y,d)
Both y and |d| are the same size	samesize(y,d)
Y and |d| both are the same size	samesize(y,d)
|E| is large	large(e)
|B| is larger than |b|	larger(b,b)
Y. adjoins x	adjoins(y,x)
Y adjoins x	adjoins(y,x)
Both X. and |c| are in the same column	samecol(x,c)
Both x and |c| are in the same column	samecol(x,c)
Both X. and |c| are in the same column	samecol(x,c)
X and |c| are in the same column	samecol(x,c)
X. and |c| both are in the same column	samecol(x,c)
X. and |c| are in the same column	samecol(x,c)
X. is in the same column as |c|	samecol(x,c)
X is in the same column as |c|	samecol(x,c)
X. and |c| are both in the same column	samecol(x,c)
Both x and |c| are in the same column	samecol(x,c)
X and |c| both are in the same column	samecol(x,c)
X and |c| are both in the same column	samecol(x,c)
Both y and |c| are in the same column	samecol(y,c)
Both y and |c| are in the same column	samecol(y,c)
Y. and |c| are in the same column	samecol(y,c)
Both Y. and |c| are in the same column	samecol(y,c)
Both Y. and |c| are in the same column	samecol(y,c)
Y. and |c| are both in the same column	samecol(y,c)
Y and |c| both are in the same column	samecol(y,c)
Y. and |c| both are in the same column	samecol(y,c)
Y and |c| are both in the same column	samecol(y,c)
Y and |c| are in the same column	samecol(y,c)
Y. is in the same column as |c|	samecol(y,c)
Y is in the same column as |c|	samecol(y,c)
X. is to the left of |b|	leftof(x,b)
X is to the left of |b|	leftof(x,b)
X. likes |a|	likes(x,a)
X likes |a|	likes(x,a)
|E| is smaller than y	smaller(e,y)
X adjoins |e|	adjoins(x,e)
X. adjoins |e|	adjoins(x,e)
|A| is larger than |c|	larger(a,c)
Both |b| and Z. are the same size	samesize(b,z)
|B| and Z. are the same size	samesize(b,z)
|B| and z both are the same size	samesize(b,z)
Both |b| and z are the same size	samesize(b,z)
|B| and Z. are both the same size	samesize(b,z)
|B| and Z. both are the same size	samesize(b,z)
|B| and z are both the same size	samesize(b,z)
|B| and z are the same size	samesize(b,z)
Both |b| and z are the same size	samesize(b,z)
Both |b| and Z. are the same size	samesize(b,z)
|B| is to the left of |b|	leftof(b,b)
|D| adjoins |d|	adjoins(d,d)
|C| is to the right of |f|	rightof(c,f)
Both x and |d| are in the same row	samerow(x,d)
Both X. and |d| are in the same row	samerow(x,d)
X. and |d| are in the same row	samerow(x,d)
X. and |d| both are in the same row	samerow(x,d)
X. and |d| are both in the same row	samerow(x,d)
X and |d| are both in the same row	samerow(x,d)
X and |d| both are in the same row	samerow(x,d)
X and |d| are in the same row	samerow(x,d)
X is in the same row as |d|	samerow(x,d)
X. is in the same row as |d|	samerow(x,d)
Both x and |d| are in the same row	samerow(x,d)
Both X. and |d| are in the same row	samerow(x,d)
X	larger(x,x)
X. is larger than x	larger(x,x)
X is larger than x	larger(x,x)
|A| is to the right of y	rightof(a,y)
|F| is to the left of |e|	leftof(f,e)
|C| likes |e|	likes(c,e)
Z. is smaller than |f|	smaller(z,f)
Z is smaller than |f|	smaller(z,f)
X. and X. are the same shape	sameshape(x,x)
X and X. both are the same shape	sameshape(x,x)
Both X. and x are the same shape	sameshape(x,x)
Both X. and X. are the same shape	sameshape(x,x)
X and x are the same shape	sameshape(x,x)
X. and x are both the same shape	sameshape(x,x)
X. and x both are the same shape	sameshape(x,x)
X and X. are both the same shape	sameshape(x,x)
X. and X. are both the same shape	sameshape(x,x)
X. is the same shape as x	sameshape(x,x)
X. and X. both are the same shape	sameshape(x,x)
X and x both are the same shape	sameshape(x,x)
Both X. and X. are the same shape	sameshape(x,x)
Both x and x are the same shape	sameshape(x,x)
X and x are both the same shape	sameshape(x,x)
Both x and X. are the same shape	sameshape(x,x)
X. and x are the same shape	sameshape(x,x)
X	sameshape(x,x)
X is the same shape as x	sameshape(x,x)
Both x and X. are the same shape	sameshape(x,x)
Both x and x are the same shape	sameshape(x,x)
X and X. are the same shape	sameshape(x,x)
Both X. and x are the same shape	sameshape(x,x)
|F| and z are both the same shape	sameshape(f,z)
|F| and Z. both are the same shape	sameshape(f,z)
Both |f| and z are the same shape	sameshape(f,z)
|F| and z both are the same shape	sameshape(f,z)
|F| and z are the same shape	sameshape(f,z)
Both |f| and Z. are the same shape	sameshape(f,z)
|F| and Z. are the same shape	sameshape(f,z)
Both |f| and z are the same shape	sameshape(f,z)
Both |f| and Z. are the same shape	sameshape(f,z)
|F| and Z. are both the same shape	sameshape(f,z)
|D| adjoins |c|	adjoins(d,c)
X is in back of y	backof(x,y)
X. is in back of y	backof(x,y)
Z. and |b| are in the same row	samerow(z,b)
Z. and |b| both are in the same row	samerow(z,b)
Z and |b| are both in the same row	samerow(z,b)
Both z and |b| are in the same row	samerow(z,b)
Z. and |b| are both in the same row	samerow(z,b)
Both Z. and |b| are in the same row	samerow(z,b)
Z is in the same row as |b|	samerow(z,b)
Both z and |b| are in the same row	samerow(z,b)
Z. is in the same row as |b|	samerow(z,b)
Z and |b| are in the same row	samerow(z,b)
Z and |b| both are in the same row	samerow(z,b)
Both Z. and |b| are in the same row	samerow(z,b)
|A| is small	small(a)
|B| and Y. both are in the same row	samerow(b,y)
|B| and Y. are both in the same row	samerow(b,y)
Both |b| and Y. are in the same row	samerow(b,y)
Both |b| and y are in the same row	samerow(b,y)
|B| and Y. are in the same row	samerow(b,y)
|B| and y are in the same row	samerow(b,y)
|B| and y both are in the same row	samerow(b,y)
|B| is in the same row as y	samerow(b,y)
|B| and y are both in the same row	samerow(b,y)
Both |b| and Y. are in the same row	samerow(b,y)
Both |b| and y are in the same row	samerow(b,y)
X. is in front of |d|	frontof(x,d)
X is in front of |d|	frontof(x,d)
|E| is smaller than |a|	smaller(e,a)
Both |f| and |b| are in the same row	samerow(f,b)
|F| and |b| are in the same row	samerow(f,b)
|F| and |b| both are in the same row	samerow(f,b)
Both |f| and |b| are in the same row	samerow(f,b)
|F| and |b| are both in the same row	samerow(f,b)
|F| is in the same row as |b|	samerow(f,b)
Z adjoins |d|	adjoins(z,d)
Z. adjoins |d|	adjoins(z,d)
|F| and |d| are both the same size	samesize(f,d)
|F| is the same size as |d|	samesize(f,d)
|F| and |d| are the same size	samesize(f,d)
Both |f| and |d| are the same size	samesize(f,d)
Both |f| and |d| are the same size	samesize(f,d)
|F| and |d| both are the same size	samesize(f,d)
X likes |c|	likes(x,c)
X. likes |c|	likes(x,c)
Z. adjoins |c|	adjoins(z,c)
Z adjoins |c|	adjoins(z,c)
|A| is smaller than |e|	smaller(a,e)
|C| likes |d|	likes(c,d)
|E| is to the left of x	leftof(e,x)
X. is smaller than x	smaller(x,x)
X	smaller(x,x)
X is smaller than x	smaller(x,x)
|E| and x are both in the same column	samecol(e,x)
|E| and X. both are in the same column	samecol(e,x)
Both |e| and X. are in the same column	samecol(e,x)
|E| and x both are in the same column	samecol(e,x)
Both |e| and x are in the same column	samecol(e,x)
Both |e| and X. are in the same column	samecol(e,x)
|E| is in the same column as x	samecol(e,x)
|E| and X. are both in the same column	samecol(e,x)
Both |e| and x are in the same column	samecol(e,x)
|E| and X. are in the same column	samecol(e,x)
|E| and x are in the same column	samecol(e,x)
|A| is to the left of |b|	leftof(a,b)
|A| is larger than |a|	larger(a,a)
Both x and |b| are the same size	samesize(x,b)
X. and |b| are both the same size	samesize(x,b)
X is the same size as |b|	samesize(x,b)
Both x and |b| are the same size	samesize(x,b)
X and |b| are both the same size	samesize(x,b)
X. and |b| both are the same size	samesize(x,b)
Both X. and |b| are the same size	samesize(x,b)
X. is the same size as |b|	samesize(x,b)
X. and |b| are the same size	samesize(x,b)
X and |b| both are the same size	samesize(x,b)
X and |b| are the same size	samesize(x,b)
Both X. and |b| are the same size	samesize(x,b)
Z. is a tetrahedron	tet(z)
Z is a tetrahedron	tet(z)
Both Y. and |c| are the same shape	sameshape(y,c)
Y. is the same shape as |c|	sameshape(y,c)
Y. and |c| both are the same shape	sameshape(y,c)
Y and |c| are both the same shape	sameshape(y,c)
Both y and |c| are the same shape	sameshape(y,c)
Both Y. and |c| are the same shape	sameshape(y,c)
Y and |c| both are the same shape	sameshape(y,c)
Y. and |c| are the same shape	sameshape(y,c)
Y and |c| are the same shape	sameshape(y,c)
Y is the same shape as |c|	sameshape(y,c)
Y. and |c| are both the same shape	sameshape(y,c)
Both y and |c| are the same shape	sameshape(y,c)
Y is to the right of |f|	rightof(y,f)
Y. is to the right of |f|	rightof(y,f)
Y and |d| are both in the same row	samerow(y,d)
Both Y. and |d| are in the same row	samerow(y,d)
Both y and |d| are in the same row	samerow(y,d)
Both Y. and |d| are in the same row	samerow(y,d)
Y is in the same row as |d|	samerow(y,d)
Y and |d| both are in the same row	samerow(y,d)
Y. is in the same row as |d|	samerow(y,d)
Y. and |d| both are in the same row	samerow(y,d)
Y. and |d| are in the same row	samerow(y,d)
Y and |d| are in the same row	samerow(y,d)
Y. and |d| are both in the same row	samerow(y,d)
Both y and |d| are in the same row	samerow(y,d)
X. is to the right of |c|	rightof(x,c)
X is to the right of |c|	rightof(x,c)
Both |a| and |c| are the same size	samesize(a,c)
|A| and |c| both are the same size	samesize(a,c)
|A| and |c| are both the same size	samesize(a,c)
Both |a| and |c| are the same size	samesize(a,c)
|A| is the same size as |c|	samesize(a,c)
|A| and |c| are the same size	samesize(a,c)
Both y and |a| are in the same column	samecol(y,a)
Both Y. and |a| are in the same column	samecol(y,a)
Y is in the same column as |a|	samecol(y,a)
Both Y. and |a| are in the same column	samecol(y,a)
Y. and |a| are in the same column	samecol(y,a)
Y. is in the same column as |a|	samecol(y,a)
Y and |a| are both in the same column	samecol(y,a)
Y and |a| both are in the same column	samecol(y,a)
Y. and |a| are both in the same column	samecol(y,a)
Both y and |a| are in the same column	samecol(y,a)
Y. and |a| both are in the same column	samecol(y,a)
Y and |a| are in the same column	samecol(y,a)
|B| is to the right of x	rightof(b,x)
Y is in back of y	backof(y,y)
Y. is in back of y	backof(y,y)
|D| is to the left of |d|	leftof(d,d)
|C| is smaller than |a|	smaller(c,a)
|B| is smaller than x	smaller(b,x)
Z. is smaller than |c|	smaller(z,c)
Z is smaller than |c|	smaller(z,c)
|C| is in front of |e|	frontof(c,e)
|A| adjoins |b|	adjoins(a,b)
|A| and Y. are in the same row	samerow(a,y)
|A| and Y. both are in the same row	samerow(a,y)
|A| and Y. are both in the same row	samerow(a,y)
|A| and y are both in the same row	samerow(a,y)
Both |a| and y are in the same row	samerow(a,y)
Both |a| and Y. are in the same row	samerow(a,y)
|A| and y are in the same row	samerow(a,y)
Both |a| and Y. are in the same row	samerow(a,y)
|A| and y both are in the same row	samerow(a,y)
|A| is in the same row as y	samerow(a,y)
Both |a| and y are in the same row	samerow(a,y)
Both |f| and y are the same size	samesize(f,y)
|F| and y are the same size	samesize(f,y)
Both |f| and Y. are the same size	samesize(f,y)
|F| and Y. are both the same size	samesize(f,y)
Both |f| and y are the same size	samesize(f,y)
|F| and y are both the same size	samesize(f,y)
Both |f| and Y. are the same size	samesize(f,y)
|F| and Y. both are the same size	samesize(f,y)
|F| and Y. are the same size	samesize(f,y)
|F| is the same size as y	samesize(f,y)
|F| and y both are the same size	samesize(f,y)
|D| is to the left of |c|	leftof(d,c)
|E| is larger than |e|	larger(e,e)
|A| is in the same column as |d|	samecol(a,d)
|A| and |d| both are in the same column	samecol(a,d)
Both |a| and |d| are in the same column	samecol(a,d)
|A| and |d| are in the same column	samecol(a,d)
Both |a| and |d| are in the same column	samecol(a,d)
|A| and |d| are both in the same column	samecol(a,d)
|B| and |c| both are the same shape	sameshape(b,c)
Both |b| and |c| are the same shape	sameshape(b,c)
|B| and |c| are both the same shape	sameshape(b,c)
|B| is the same shape as |c|	sameshape(b,c)
Both |b| and |c| are the same shape	sameshape(b,c)
|B| and |c| are the same shape	sameshape(b,c)
|A| is to the left of y	leftof(a,y)
|C| is in back of |a|	backof(c,a)
|E| is to the right of |d|	rightof(e,d)
Both |b| and |b| are in the same row	samerow(b,b)
|B| and |b| both are in the same row	samerow(b,b)
|B| and |b| are both in the same row	samerow(b,b)
|B| is in the same row as |b|	samerow(b,b)
|B| and |b| are in the same row	samerow(b,b)
Both |b| and |b| are in the same row	samerow(b,b)
|F| is in back of |e|	backof(f,e)
|B| adjoins |e|	adjoins(b,e)
Y is in back of |f|	backof(y,f)
Y. is in back of |f|	backof(y,f)
X is to the right of |e|	rightof(x,e)
X. is to the right of |e|	rightof(x,e)
|B| is in front of |d|	frontof(b,d)
|F| adjoins |e|	adjoins(f,e)
X is larger than |c|	larger(x,c)
X. is larger than |c|	larger(x,c)
|F| is to the right of |f|	rightof(f,f)
Y. and z are both in the same column	samecol(y,z)
Y. and Z. both are in the same column	samecol(y,z)
Y. and Z. are in the same column	samecol(y,z)
Both y and z are in the same column	samecol(y,z)
Y and z are in the same column	samecol(y,z)
Y and Z. are in the same column	samecol(y,z)
Y. and z both are in the same column	samecol(y,z)
Y. and z are in the same column	samecol(y,z)
Both y and Z. are in the same column	samecol(y,z)
Y. and Z. are both in the same column	samecol(y,z)
Both Y. and Z. are in the same column	samecol(y,z)
Y and Z. both are in the same column	samecol(y,z)
Y and z both are in the same column	samecol(y,z)
Both Y. and z are in the same column	samecol(y,z)
Both y and Z. are in the same column	samecol(y,z)
Both y and z are in the same column	samecol(y,z)
Y and z are both in the same column	samecol(y,z)
Y and Z. are both in the same column	samecol(y,z)
Both Y. and z are in the same column	samecol(y,z)
Both Y. and Z. are in the same column	samecol(y,z)
|D| is to the right of |b|	rightof(d,b)
Z. likes |a|	likes(z,a)
Z likes |a|	likes(z,a)
Z. adjoins x	adjoins(z,x)
Z adjoins x	adjoins(z,x)
|E| is in back of |e|	backof(e,e)
|B| is to the left of y	leftof(b,y)
X and |c| are the same shape	sameshape(x,c)
Both X. and |c| are the same shape	sameshape(x,c)
X. and |c| are the same shape	sameshape(x,c)
X and |c| are both the same shape	sameshape(x,c)
X and |c| both are the same shape	sameshape(x,c)
Both X. and |c| are the same shape	sameshape(x,c)
X. and |c| both are the same shape	sameshape(x,c)
X. is the same shape as |c|	sameshape(x,c)
Both x and |c| are the same shape	sameshape(x,c)
X is the same shape as |c|	sameshape(x,c)
Both x and |c| are the same shape	sameshape(x,c)
X. and |c| are both the same shape	sameshape(x,c)
|A| is in front of |b|	frontof(a,b)
X and X. are in the same row	samerow(x,x)
X and x both are in the same row	samerow(x,x)
Both X. and x are in the same row	samerow(x,x)
X. and x are in the same row	samerow(x,x)
X and x are both in the same row	samerow(x,x)
X. is in the same row as x	samerow(x,x)
X	samerow(x,x)
X and X. are both in the same row	samerow(x,x)
X and X. both are in the same row	samerow(x,x)
X. and X. both are in the same row	samerow(x,x)
X. and X. are in the same row	samerow(x,x)
Both X. and X. are in the same row	samerow(x,x)
X. and x both are in the same row	samerow(x,x)
Both x and x are in the same row	samerow(x,x)
X is in the same row as x	samerow(x,x)
X. and X. are both in the same row	samerow(x,x)
Both X. and x are in the same row	samerow(x,x)
Both x and X. are in the same row	samerow(x,x)
Both X. and X. are in the same row	samerow(x,x)
X and x are in the same row	samerow(x,x)
Both x and X. are in the same row	samerow(x,x)
X. and x are both in the same row	samerow(x,x)
Both x and x are in the same row	samerow(x,x)
Z. is in front of |c|	frontof(z,c)
Z is in front of |c|	frontof(z,c)
|E| is smaller than |e|	smaller(e,e)
Z. is to the right of |c|	rightof(z,c)
Z is to the right of |c|	rightof(z,c)
|C| and Y. are both the same shape	sameshape(c,y)
|C| is the same shape as y	sameshape(c,y)
Both |c| and Y. are the same shape	sameshape(c,y)
|C| and y both are the same shape	sameshape(c,y)
|C| and y are the same shape	sameshape(c,y)
Both |c| and y are the same shape	sameshape(c,y)
|C| and Y. both are the same shape	sameshape(c,y)
Both |c| and Y. are the same shape	sameshape(c,y)
|C| and Y. are the same shape	sameshape(c,y)
Both |c| and y are the same shape	sameshape(c,y)
|C| and y are both the same shape	sameshape(c,y)
|D| is larger than |c|	larger(d,c)
Both |d| and Y. are the same shape	sameshape(d,y)
Both |d| and Y. are the same shape	sameshape(d,y)
|D| and Y. are the same shape	sameshape(d,y)
|D| is the same shape as y	sameshape(d,y)
Both |d| and y are the same shape	sameshape(d,y)
